問題,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解の選択肢,全体の解説,1の解説,2の解説,3の解説,4の解説,5の解説
R4 第1問：インターネットへの接続やデジタル機器同⼠のデータ交換の際に⽤いる無線通信技術にはさまざまな種類 があり、それぞれの特徴を理解する必要がある。 無線通信技術に関する記述として、最も適切な組み合わせを下記の解答群から選べ。 a 無線LAN 規格IEEE802.11n に対応する機器は、IEEE802.11ac に対応する機器と通信が可能である。 b 無線LAN 規格IEEE802.11g に対応する機器は、5 GHz 帯を利⽤するので電⼦レンジなどの家電製 品から電波⼲渉を受ける。 c Bluetooth に対応する機器は、周波数ホッピング機能により電⼦レンジなどの家電製品からの電波 ⼲渉を軽減できる。 d Bluetooth に対応する機器は、5 GHz 帯を利⽤するので電⼦レンジなどの家電製品から電波⼲渉を 受ける。 e Bluetooth に対応する機器は、2.4 GHz 帯と5 GHz 帯を切り替えて通信を⾏うことができるので、 電⼦レンジなどの家電製品からの電波⼲渉を軽減できる。,ａとｃ,ａとｅ,ｂとｃ,ｂとｄ,ｂとｅ,1,無線通信技術に関する問題である。 無線LAN規格IEEE802.11の規格は以下の通りである。 規格名 速度 波数帯規格名 速度 周波数帯 IEEE802.11 2Mbps 2.4～2.5GHz IEEE802.11a 54Mbps 5.15～5.35GHz/5.47～5.725GHz IEEE802.11b 11Mbps/22Mbps 2.4～2.5GHz IEEE802.11g 54Mbps 2.4～2.5GHz IEEE802.11n 600Mbps 2.4/5GHz IEEE802.11ac 6.9Gbps 5GHz a 適切である。無線LAN規格IEEE802.11acは、IEEE802.11nと互換性があり、IEEE802.11n に 対応する機器は、IEEE802.11ac に対応する機器と通信が可能である。 b 不適切である。無線LAN規格IEEE802.11gに対応する機器は、2.4～2.5GHz帯を利用するため、 電子レンジなどの家電製品から電波干渉を受けやすい。 IEEE802.11ax 9.6Gbps 2.4/5GHz c 適切である。Bluetooth に対応する 機器は、周波数ホッピング機能により電子レンジなどの家電 製品からの電波干渉を軽減できる。周波数ホッピング機能とは、周波数を高速に切替えながら 通信をすることで、瞬間的に他の通信と電波がぶつかっても、連続して電波がぶつからないよう にする通信方法である。 d 不適切である。Bluetoothに対応する機器は、2.4G Hz 帯を利用する。また、Bluetooth に対応 する機器は 周波数ホッピング機能により電子レンジなどの家電製品からの電波干渉を軽減でする機器は、周波数ホッピング機能により電子レンジなどの家電製品からの電波干渉を軽減で きる。 e 不適切である。Bluetoothに対応する機器は、2.4GHz 帯のみ利用する。 したがって、アが正解となる。,,,,,
"R4 第2問：ある値（value）を何らかのキー（key）を付けて記憶するデータ構造は、さまざまなプログラミング⾔ 語で利⽤可能である。 Python においては、辞書（dictionary）と呼ばれるデータ型が組み込まれている。辞書は、「キー： 値」 という形のペアの集合であり、 {キー1： 値1, キー2： 値2, …, キーn： 値n} のように、「キー： 値」の各ペアをカンマで区切り、{ } で囲むことで定義できる。例えば、 mis = {""科⽬名""：""経営情報システム"", ""試験時間""：""60 分""} として辞書mis を定義でき、mis[""科⽬名""] でキー""科⽬名"" に対応する値である""経営情報システム"" を、 また、mis[""試験時間""] でキー""試験時間"" に対応する値である""60 分"" を参照することができる。なお、次 のように、値には辞書型のデータも指定することができる。 employee = { ""E001""：{""⽒名""：""中⼩太郎"", ""部⾨""：""財務部""}, ""E002""：{""⽒名""：""診断次郎"", ""部⾨""：""総務部""}} この場合、employee[""E001""][""⽒名""] で""中⼩太郎"" を参照することができる。 いま、次のようにexam を定義するとき、値の参照に関する記述として、最も不適切なものを下記の解答 群から選べ。 exam = { ""Ａ""：{""科⽬名""：""科⽬Ａ"", ""試験時間""：""60 分"", ""配点""：""100 点""}, ""Ｂ""：{""科⽬名""：""科⽬Ｂ"", ""試験時間""：""60 分"", ""配点""：""100 点""}, ""Ｃ""：{""科⽬名""：""科⽬Ｃ"", ""試験時間""：""90 分"", ""配点""：""100 点""}, ""Ｄ""：{""科⽬名""：""科⽬Ｄ"", ""試験時間""：""90 分""}, ""Ｅ""：{""科⽬名""：""科⽬Ｅ"", ""試験時間""：""60 分"", ""配点""：""100 点""}, ""Ｆ""：{""科⽬名""：""科⽬Ｆ"", ""試験時間""：""60 分"", ""配点""：""100 点""}, ""Ｇ""：{""科⽬名""：""科⽬Ｇ"", ""試験時間""：""90 分""} }","exam[""Ａ""][""試験時間""] の値とexam[""Ｂ""][""試験時間""] の値は等しい。","exam[""Ｃ""][""配点""] の値は、""100 点"" である。","exam[""Ｄ""] に、キー""配点"" は存在しない。","exam[""Ｅ""][""試験時間""] の値とexam[""Ｇ""][""試験時間""] の値は等しい。","exam[""Ｆ""][""科⽬名""] の値は、""科⽬Ｆ"" である。",4,"Pythonを使ったプログラミングに関する問題である。 本問の場合、事前知識が無くても、問題の説明文を読むことで正解を導くことができる。 ア 適切である。exam[""Ａ""][""試験時間""] の値は""60分""、exam[""Ｂ""][""試験時間""] の値も ""60分""で等しい。 イ 適切である。exam[""Ｃ""][""配点""] の値は、""100点""である。 ウ 適切である。exam[""Ｄ""] は、{""科目名""：""科目Ｄ"", ""試験時間""：""90分""}であり、キー""配点"" は存在しない。 エ 不適切である。exam[""Ｅ""][""試験時間""] の値は60分、exam[""Ｇ""][""試験時間""] の値は90分 なので異なる。 オ 適切である。exam[""Ｆ""][""科目名""] の値は、""科目Ｆ"" である。","ア 適切である。exam[""Ａ""][""試験時間""] の値は""60分""、exam[""Ｂ""][""試験時間""] の値も ""60分""で等しい。","イ 適切である。exam[""Ｃ""][""配点""] の値は、""100点""である。","ウ 適切である。exam[""Ｄ""] は、{""科目名""：""科目Ｄ"", ""試験時間""：""90分""}であり、キー""配点"" は存在しない。","エ 不適切である。exam[""Ｅ""][""試験時間""] の値は60分、exam[""Ｇ""][""試験時間""] の値は90分 なので異なる。","オ 適切である。exam[""Ｆ""][""科目名""] の値は、""科目Ｆ"" である。"
R4 第3問：プログラミング⾔語には多くの種類があり、⽬的に応じて適切な選択を⾏う必要がある。 プログラミング⾔語に関する記述として、最も適切なものはどれか。,JavaScript はJava のサブセットであり、HTML ファイルの中で記述され、動的なWeb ページを作 成するために⽤いられる。,Perl は⽇本⼈が開発したオブジェクト指向⾔語であり、国際規格として承認されている。,Python はLISP と互換性があり、機械学習などのモジュールが充実している。,R は統計解析向けのプログラミング⾔語であり、オープンソースとして提供されている。,Ruby はビジュアルプログラミング⾔語であり、ノーコードでアプリケーションソフトウェアを開 発することができる。,4,プログラミング言語に関する問題である。 ア 不適切である。JavaScript とJavaには直接的な関係はない。 イ 不適切である。本選択肢はRubyの説明である。Perl は米国人が開発したスクリプト言語である。 ウ 不適切である。Pythonは、オブジェク ト指向型言語の一つで、シンプルなコードで簡潔にプロ グラミングが書けるスクリプト言語である。一方、LISPは2番目に古い歴史を持つ関数型言語で ある。両者とも人工知能や機械学習の分野などで用いられるが、Python とLISP には互換性 がないがない。 エ 適切である。Rは、オープンソースで利用可能な統計やデータ解析に特化したプログラミング 言語である。 オ 不適切である。Rubyはスクリプト言語であり、ビジュアルプログラミング言語ではない。ビジュ アルプログラミング言語とはプログラムをテキストで記述するのではなく、視覚的なオブジェクト を組み合わせてプログラミングするプログラミング言語である。を組み合わせてプログラミングするプログラミング言語である。,ア 不適切である。JavaScript とJavaには直接的な関係はない。,イ 不適切である。本選択肢はRubyの説明である。Perl は米国人が開発したスクリプト言語である。,ウ 不適切である。Pythonは、オブジェク ト指向型言語の一つで、シンプルなコードで簡潔にプロ グラミングが書けるスクリプト言語である。一方、LISPは2番目に古い歴史を持つ関数型言語で ある。両者とも人工知能や機械学習の分野などで用いられるが、Python とLISP には互換性 がないがない。,エ 適切である。Rは、オープンソースで利用可能な統計やデータ解析に特化したプログラミング 言語である。,オ 不適切である。Rubyはスクリプト言語であり、ビジュアルプログラミング言語ではない。ビジュ アルプログラミング言語とはプログラムをテキストで記述するのではなく、視覚的なオブジェクト を組み合わせてプログラミングするプログラミング言語である。を組み合わせてプログラミングするプログラミング言語である。
R4 第4問：データを格納する考え⽅としてデータレイクが注⽬されている。データレイクに関する記述として、最も 適切なものはどれか。,組織内で運⽤される複数のリレーショナルデータベースからデータを集めて格納する。,組織内の構造化されたデータや、IoT 機器やSNS などからの構造化されていないデータをそのまま の形式で格納する。,データウェアハウスから特定の⽤途に必要なデータを抽出し、キー・バリュー型の形式で格納する。,データ利⽤や分析に適したスキーマをあらかじめ定義して、その形式にしたがってデータを格納す る。,テキスト形式のデータと画像・⾳声・動画などのバイナリ形式のデータをそれぞれ加⼯し、構造 化したうえで格納する。,2,データレイクに関する問題である。 ア 不適切である。データレイクは組織内で運用される複数のリレーショナルデータベースからデ ータを集めて格納する場合もあるが、それだけではなく、SNSなどからの構造化されていない データをそのままの形式で格納しておくこともできる。選択肢アは、リレーショナルデータベース からデータを集めて格納するという点に限定しているため、選択肢イとの相対比較で不適切と なる。 イ 適切である。本選択肢の通り。 ウ 不適切である。本選択肢はデータマートの説明である。データマートとは、データウェアハウス から、OLAPにより、目的別にデータを抽出・作成されたデータベースのことをいう。なお、データ マートは、必ずしもキー・バリューの形式で格納するわけではない。 エ 不適切である。データレイクはスキーマをあらかじめ定義する必要はなく、データをそのままの 形式で格納しておくこともできる形式で格納しておくこともできる。 オ 不適切である。データレイクはデータをそれぞれ加工し、構造化する必要はなく、データをその ままの形式で格納しておくこともできる。,ア 不適切である。データレイクは組織内で運用される複数のリレーショナルデータベースからデ ータを集めて格納する場合もあるが、それだけではなく、SNSなどからの構造化されていない データをそのままの形式で格納しておくこともできる。選択肢アは、リレーショナルデータベース からデータを集めて格納するという点に限定しているため、選択肢イとの相対比較で不適切と なる。,イ 適切である。本選択肢の通り。,ウ 不適切である。本選択肢はデータマートの説明である。データマートとは、データウェアハウス から、OLAPにより、目的別にデータを抽出・作成されたデータベースのことをいう。なお、データ マートは、必ずしもキー・バリューの形式で格納するわけではない。,エ 不適切である。データレイクはスキーマをあらかじめ定義する必要はなく、データをそのままの 形式で格納しておくこともできる形式で格納しておくこともできる。,オ 不適切である。データレイクはデータをそれぞれ加工し、構造化する必要はなく、データをその ままの形式で格納しておくこともできる。
R4 第5問：「アルバイト担当者」表から電話番号が「03-3」から始まる担当者を探すためにSQL ⽂を⽤いる。以下 のSQL ⽂の空欄に指定する⽂字列として、最も適切なものを下記の解答群から選べ。なお、電話番号は 「アルバイト担当者」表の「電話番号」列に格納されているものとする。 SELECT ＊ FROM アルバイト担当者 WHERE ；,LIKE 電話番号 '= 03-3％',LIKE 電話番号 = '03-3％',電話番号 = ' LIKE 03-3％',電話番号 ' LIKE 03-3％',電話番号 LIKE '03-3％',5,SQL文に関する問題である。 LIKEは、部分的に一致するデータや一定のパターンに合致するデータを抽出する際に使用される。 SELECT 列名 FROM 表名 WHERE 列名 LIKE パターン LIKEの後ろには、「文字列」や任意の一文字を意味する「＿」、0文字以上の任意の文字列を意味 する「％」を「'」で括って記述する。 本問の『「アルバイト担当者」表から電話番号が「03-3」から始まる担当者を探す』場合、以下のよう に記述する。 SELECT ＊ FROM アルバイト担当者 WHERE 電話番号 LIKE '03-3％' したがって、オが正解となる。,,,,,
R4 第6問：コンピュータ内で特定のファイルの所在を表す際に相対パスが⽤いられる。相対パスに関する記述とし て、最も適切なものはどれか。,親ディレクトリから対象ファイルに⾄るパスである。,仮想ディレクトリから対象ファイルに⾄るパスである。,カレントディレクトから対象ファイルに⾄るパスである。,ホームディレクトリから対象ファイルに⾄るパスである。,ルートディレクトリから対象ファイルに⾄るパスである,3,【解説】 相対パスに関する問題である。 ディレクトリとは、ストレージ（外部記憶装置）のファイルシステムなどで、複数のファイルを格納し、フ ァイルを分類・整理することができる保管場所のことをいい、OSによってはフォルダと呼ばれる。 ディレクトリは、階層構造をとることによって、効率的なファイル管理を可能にする。階層構造の最上 位にあるディレクトリをルートディレクトリ、ルートディレクトリの配下にあるディレクトリをサブディレクト リという。 ファイル1 ルート ディレクトリ サブ ディレクトリ サブ ディレクトリ ディレクトリ内のファイルを指定する場合、ルートディレクトリからの位置を記す方法を「絶対パスによ る指定方法 現在操作を行 るデ クトリ（カ トデ クトリ）から 相対的な変位を記す方 サブ ディレクトリファイル2 ファイル3 る指定方法」、現在操作を行っているディレクトリ（カレントディレクトリ）からの相対的な変位を記す方 法を「相対パスによる指定方法」という。なお、パスとはデータの通り道のことである。 したがって、ウが正解となる（ただし、「カレントディレクト」となっており誤植として全員正解となった）。,,,,,
R4 第7問：ネットワーク上では多様な通信プロトコルが⽤いられている。通信プロトコルに関する記述とその⽤語 の組み合わせとして、最も適切なものを下記の解答群から選べ。 ① Web ブラウザとWeb サーバ間でデータを送受信する際に⽤いられる。 ② 電⼦メールクライアントソフトが、メールサーバに保存されている電⼦メールを取得する際に⽤い られる。 ③ 電⼦メールの送受信において、テキストとともに画像・⾳声・動画などのデータを扱う際に⽤い られる。 ④ クライアントとサーバ間で送受信されるデータを暗号化する際に⽤いられる。,①：HTTP ②：POP3 ③：MIME ④：SSL/TLS,①：HTTP ②：SMTP ③：IMAP ④：UDP,①：NTP ②：POP3 ③：IMAP ④：UDP,①：NTP ②：POP3 ③：MIME ④：UDP,①：NTP ②：SMTP ③：IMAP ④：SSL/TLS,1,通信プロトコルに関する問題である。 ① ： HTTP HTTPは、WEB サーバと WEB ブラウザがデータを送受信するのに使われるプロトコルである。 ② ： POP3 POP3は、インターネットで電子メールを保管しているサーバからメールを受信する時に使うプロ トコルである。 なお、POP3が全てのメッセージをクライアント側にダウンロードするのに対し、 IMAPではメッ セ ジを全てメ ルサ バ側で保存しておき 必要に応じてクライアントからメッセ ジを呼びセージを全てメールサーバ側で保存しておき、必要に応じてクライアントからメッセージを呼び 出す方式をとる。 ③ ： MIME MIMEは、電子メールで送受信できるデータ形式として、テキストだけでなく画像、音声なども 扱うことができるプロトコルである。 ④ ： SSL/TLS ④ ： SSL/TLS SSL/TLSは、WebサーバとWebクライアント間で送受信される暗号化プロトコルである。 したがって、アが正解となる。 第8問 第8問 【解答】 エ 【解説】 IP アドレスやドメインに関する問題である。 ア 不適切である。DHCP は、サブネットマスク やデフォルトゲートウェイのアドレスも自動設定する。 イ 不適切である。IPv4 とIPv6 の間には互換性はないので、トンネリングなどの共存技術を用い なければ、IPv4 アドレスを割り当てられた機器とIPv6 アドレスを割り当てられた機器は直接通 信できない。 ウ 不適切である。本選択肢はDNSの説明である。NATは、ローカル IP アドレスとグローバル IP アドレスを1対1で変換する機能である。 エ 適切である ト プレベルドメインは ドメイン名において ド トで区切られた文字列の 番エ 適切である。トップレベルドメインは、ドメイン名において、ドットで区切られた文字列の一番 右の部分（ラベル）のことであり、分野別トップレベルドメイン（gTLD）と国別トップレベルドメイン （ccTLD）に大別される。 オ 不適切である。本選択肢はNATの説明である。DNSは、ドメイン名やホスト名とIPアドレスを 対応させるためのシステムである。,ア 不適切である。DHCP は、サブネットマスク やデフォルトゲートウェイのアドレスも自動設定する。,イ 不適切である。IPv4 とIPv6 の間には互換性はないので、トンネリングなどの共存技術を用い なければ、IPv4 アドレスを割り当てられた機器とIPv6 アドレスを割り当てられた機器は直接通 信できない。,ウ 不適切である。本選択肢はDNSの説明である。NATは、ローカル IP アドレスとグローバル IP アドレスを1対1で変換する機能である。,エ 適切である ト プレベルドメインは ドメイン名において ド トで区切られた文字列の 番エ 適切である。トップレベルドメインは、ドメイン名において、ドットで区切られた文字列の一番 右の部分（ラベル）のことであり、分野別トップレベルドメイン（gTLD）と国別トップレベルドメイン （ccTLD）に大別される。,オ 不適切である。本選択肢はNATの説明である。DNSは、ドメイン名やホスト名とIPアドレスを 対応させるためのシステムである。
R4 第9問：経済産業省が2021 年8 ⽉に公表した「DX レポート2.1」（DX レポート2 追補版）では、デジタル変⾰ 後の新たな産業の姿やその中での企業の姿が提⽰されている。デジタル社会の実現に必要となる機能を社 会にもたらすのがデジタル産業であるとしている。 「DX レポート2.1」におけるデジタル産業を構成する企業の類型として、最も不適切なものはどれか 。,DX に必要な技術を提供するパートナー,企業の変⾰を共に推進するパートナー,共通プラットフォームの提供主体,新ビジネス・サービスの提供主体,デジタル化を外部委託してコスト削減を図る企業群,5,「DX レポート2.1」におけるデジタル産業を構成する企業の類型に関する問題である。 「DX レポート2.1」では、デジタル産業を構成する企業の類型として、以下の4つを挙げている。 ①企業の変革を共に推進するパートナー ②DX に必要な技術を提供するパートナー ③共通プラットフォームの提供主体 ④新ビジネス・サービスの提供主体 したがって オが正解となる なお たとえ「DX レポ ト2 1」がわからなかったとしても 選択肢オが したがって、オが正解となる。なお、たとえ「DX レポート2.1」がわからなかったとしても、選択肢オが 他の選択肢と毛色が異なるものであることに気付くことができれば正答に辿り着けるのではないかと 思われる。,,,,,
R4 第10問：中⼩企業においても、オープンデータの活⽤は競争⼒向上の重要な要因となり得る。オープンデータに 関する記述として、最も適切なものはどれか。,売上データや⼈流データなどに匿名加⼯を施したうえで第三者に販売されるデータ。,⾏政の透明化を図るために、条例に基づいて住⺠からの公開請求の⼿続きにより住⺠に公開され るデータ。,公開の有無にかかわらず、OpenDocument フォーマットで保管されるデータ。,政府や企業が公式に発表する統計データや決算データではなく、インターネットのログやSNS の 投稿などから得られるデータ。,⼆次利⽤が可能な利⽤ルールが適⽤され、機械判読に適し、無償で利⽤できる形で公開されるデー タ。,5,オープンデータに関する問題である。 オープンデータは、インターネットなどを通じて誰でも自由に入手し、利用・再配布できるデータである。 通常、政府・自治体・研究機関・企業などが公開する統計資料・文献資料・科学的研究資料を指す。 ア 不適切である。本選択肢は匿名加工情報の説明である。匿名加工情報とは、特定の個人を 識別することができないように個人情報を加工し、その個人情報を復元することができないよう にしたものをいう。オープンデータは無償で利用・再配布できるデータである。 イ 不適切である。本選択肢は情報公開制度で公開されるデータの説明である。 ウ 不適切である。OpenDocumentはXMLをベースにしたオフィスソフト用の文書ファイルフォー マットであり、OpenDocumentフォーマットで保管されるデータがオープンデータということでは ない。 エ 不適切である。本選択肢はビッグデータの説明である。 オ 適切である。本選択肢の通り。,ア 不適切である。本選択肢は匿名加工情報の説明である。匿名加工情報とは、特定の個人を 識別することができないように個人情報を加工し、その個人情報を復元することができないよう にしたものをいう。オープンデータは無償で利用・再配布できるデータである。,イ 不適切である。本選択肢は情報公開制度で公開されるデータの説明である。,ウ 不適切である。OpenDocumentはXMLをベースにしたオフィスソフト用の文書ファイルフォー マットであり、OpenDocumentフォーマットで保管されるデータがオープンデータということでは ない。,エ 不適切である。本選択肢はビッグデータの説明である。,オ 適切である。本選択肢の通り。
R4 第12問：企業は環境変化に対応するために、コンピュータシステムの処理能⼒を弾⼒的に増減させたり、より処理 能⼒の⾼いシステムに移⾏させたりする必要がある。 以下の記述のうち、最も適切な組み合わせを下記の解答群から選べ。 a システムを構成するサーバの台数を増やすことでシステム全体の処理能⼒を⾼めることを、スケー ルアウトという。 b システムを構成するサーバを⾼性能なものに取り替えることでシステム全体の処理能⼒を⾼める ことを、スケールアップという。 c 既存のハードウェアやソフトウェアを同等のシステム基盤へと移すことを、リファクタリングとい う。 d パッケージソフトウェアを新しいバージョンに移⾏する時などに⾏われ、データやファイルを別の 形式に変換することを、リフト＆シフトという e 情報システムをクラウドに移⾏する⼿法の1 つで、既存のシステムをそのままクラウドに移し、漸 進的にクラウド環境に最適化していく⽅法を、コンバージョンという。,ａとｂ,ａとｅ,ｂとｃ,ｃとｄ,ｄとｅ,1,コンピュータシステムの処理能力に関する問題である。 a 適切である。本選択肢の通り。 b 適切である。本選択肢の通り。 c 不適切である。本選択肢はリプレースの説明である。リファクタリングとは、ソフトウェアを開発 する際などに、外部から見た動作は変更せずに内部構造を変更する手法である。 d 不適切である。本選択肢はコンバージョンの説明である。 e 不適切である。本選択肢はリフト＆シフトの説明である。 したがって、アが正解となる。,,,,,
